id,con_val,其他,图书馆,开水,教务处,文印中心,校医院,校车,洗衣房,淋浴,超市,食堂
50,6988.98,0.0,121.9,306.97,0.0,1.7,0.0,111.41,97.2,135.6,631.25,5582.95
51,8797.6,0.0,119.4,584.5,5.5,52.05,0.0,257.59,74.4,32.0,675.3,6996.86
52,7066.87,0.0,144.0,331.33,50.0,261.9,0.0,144.13,21.6,129.7,556.0,5428.21
53,13817.89,0.0,210.99,449.08,0.0,16.25,0.0,19.0,0.0,36.43,983.7,12102.44
54,11057.69,0.0,141.8,406.46,14.02,3.0,0.0,1179.95,60.6,87.6,1028.6,8135.66
55,10261.4,0.0,146.98,834.38,51.0,88.2,0.0,126.6,52.3,130.4,468.53,8363.01
56,1789.8,0.0,160.9,148.7,0.0,98.4,0.0,19.1,0.0,0.0,74.4,1288.3
57,809.7,0.0,6.7,80.4,0.0,6.0,0.0,42.7,3.6,0.6,143.7,526.0
58,12339.9,0.0,221.1,575.18,120.8,324.0,0.0,301.65,147.6,419.8,1013.8,9215.97
59,7359.5,0.0,116.1,534.25,49.5,35.95,0.0,70.4,44.4,120.5,952.6,5435.8
62,5324.53,0.0,65.4,180.78,0.0,10.3,0.0,108.15,15.6,54.84,1038.54,3850.92
64,8340.65,0.0,59.7,826.45,13.36,2.93,0.0,171.54,42.8,76.62,327.7,6819.55
65,6506.57,0.0,27.7,480.65,0.0,0.4,0.0,527.3,39.6,59.6,323.56,5047.76
66,8618.15,7.4,80.5,1022.44,0.0,0.45,0.0,83.3,2.52,213.1,744.3,6464.14
67,9880.97,0.0,133.4,608.82,12.0,80.05,0.0,1040.0,0.0,230.4,1611.5,6164.8
68,14783.07,0.01,1513.4,1030.51,0.0,0.0,0.0,136.0,112.8,179.28,1023.3,10787.77
69,917.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,5.2,911.0
70,7730.74,0.0,130.7,550.49,55.3,8.5,0.0,306.1,24.42,49.6,951.8,5653.83
71,2841.59,0.0,84.2,92.74,0.0,0.15,0.0,82.95,34.8,38.6,273.2,2234.95
74,8446.27,3.5,181.0,581.13,0.35,2.6,0.0,392.1,18.6,13.9,973.0,6280.09
75,9929.98,35.54,118.0,1053.0,0.0,1.95,0.0,1003.27,0.0,204.4,1033.7,6480.12
76,10687.05,0.8,271.2,216.19,0.0,4.7,0.0,72.46,31.8,32.1,3686.6,6371.2
77,10208.87,0.0,436.4,156.72,2.0,83.9,0.0,31.2,21.6,77.3,3555.8,5843.95
78,9758.1,35.92,183.9,854.52,11.2,181.7,0.0,135.3,38.16,136.44,650.9,7530.06
79,3705.06,0.0,160.0,212.05,12.8,17.3,0.0,72.3,46.8,128.0,283.7,2772.11
80,10423.21,0.0,150.0,2154.83,0.0,163.8,0.0,1797.45,0.0,163.89,63.6,5929.64
81,9969.4,0.0,167.2,794.52,5.4,15.9,0.0,430.66,93.6,179.4,2355.82,5926.9
82,3961.94,0.0,12.7,461.25,0.0,27.8,0.0,218.1,0.0,80.59,119.7,3041.8
83,4597.74,15.0,95.0,556.12,12.0,42.75,0.0,250.48,18.0,57.4,437.86,3113.13
84,5749.82,0.0,84.8,527.01,12.6,0.0,0.0,106.53,13.8,123.9,349.2,4531.98
85,8930.48,0.0,339.4,567.1,0.0,11.0,0.0,66.7,151.2,268.3,678.8,6847.98
86,11544.56,0.05,179.1,998.22,30.0,0.0,0.0,945.33,89.1,243.01,754.6,8305.15
87,626.15,0.0,0.0,0.05,0.0,0.0,0.0,0.0,4.8,0.0,81.9,539.4
88,10996.63,0.0,432.9,591.18,86.2,0.7,0.0,211.8,0.0,44.7,1095.5,8533.65
89,5022.88,0.0,3.9,369.73,0.0,3.0,0.0,659.2,0.0,37.4,784.0,3165.65
92,6055.22,0.0,25.4,671.7,22.5,0.7,0.0,30.98,33.0,38.9,396.9,4835.14
93,9240.58,0.0,128.8,774.65,8.5,9.25,0.0,336.9,54.0,191.6,1008.84,6728.04
94,9314.12,0.0,23.6,846.1,0.0,19.9,0.0,385.48,81.6,130.0,408.5,7418.94
95,7843.4,0.0,314.2,508.77,30.8,17.2,0.0,255.6,0.0,14.0,524.3,6178.53
98,8420.21,0.0,41.3,1475.8,10.0,13.9,0.0,84.16,9.6,35.7,775.2,5974.55
99,7787.78,7.0,238.9,1020.69,0.0,33.0,0.0,461.7,27.6,60.7,1172.63,4765.56
106,1998.22,0.0,0.0,486.19,0.0,0.0,0.0,2.0,18.0,5.2,91.3,1395.53
107,259.31,0.0,0.0,5.01,0.0,0.0,0.0,0.0,0.0,1.0,10.0,243.3
112,5911.41,1.8,32.1,1395.9,0.0,19.5,0.0,1038.6,0.0,63.8,24.0,3335.71
113,3986.27,0.0,10.5,1097.38,0.0,0.3,0.0,256.36,18.0,199.23,52.6,2351.9
118,12005.79,0.0,153.9,4224.13,0.0,7.8,0.0,965.86,11.9,147.9,0.0,6494.3
119,8994.16,0.0,25.4,2674.36,15.0,3.0,0.0,649.6,57.6,114.5,180.8,5273.9
122,11239.66,4.1,102.2,1530.7,51.0,1.5,0.0,199.6,13.32,119.0,954.3,8263.94
123,9757.42,0.0,176.3,768.38,5.0,11.3,0.0,122.1,3.6,97.1,253.6,8320.04
124,7196.13,0.0,546.4,588.3,0.0,15.2,0.0,22.43,92.4,135.6,1012.2,4783.6
125,4842.77,0.0,181.5,280.97,2.5,3.65,0.0,75.8,39.6,104.7,702.2,3451.85
126,11920.8,0.0,226.6,1502.96,4.0,29.7,0.0,2064.58,43.2,286.41,217.4,7545.95
127,9506.44,0.0,449.4,506.09,14.6,4.2,0.0,259.9,4.8,154.4,1010.55,7102.5
128,11789.98,1.0,99.2,1023.71,0.0,60.1,0.0,241.4,0.0,239.62,1336.95,8788.0
129,22485.73,0.0,571.6,4020.76,29.0,52.4,146.0,2464.57,201.6,480.74,1709.2,12809.86
130,12112.55,0.0,293.0,2087.29,5.0,0.7,0.0,237.7,79.2,97.4,1059.7,8252.56
131,11808.92,0.0,213.7,861.83,86.5,30.4,0.0,619.8,102.9,221.75,877.98,8794.06
132,8293.98,0.0,23.3,922.74,0.0,3.7,0.0,112.9,10.8,0.4,678.96,6541.18
133,3200.68,0.0,37.83,838.24,0.0,2.3,3.0,333.88,0.0,88.5,60.9,1836.03
134,20247.79,0.15,184.6,2178.49,126.5,0.0,0.0,841.3,183.2,183.4,1338.58,15211.57
135,7747.63,0.0,445.6,330.02,134.36,35.3,0.0,334.9,10.8,294.7,89.6,6072.35
138,10444.11,0.0,92.7,2972.96,0.0,0.0,3.0,1502.8,3.0,4.9,44.5,5820.25
139,10399.84,0.0,311.85,2479.7,0.0,22.8,1.0,1089.05,3.6,181.52,234.6,6075.72
142,4840.44,0.0,28.7,468.65,31.0,24.9,0.0,222.6,8.4,77.1,566.88,3412.21
143,8446.25,0.0,249.7,622.99,68.0,79.15,0.0,345.6,100.9,206.5,808.9,5964.51
144,325.22,0.0,41.1,3.32,0.0,0.0,0.0,0.0,0.0,1.1,30.5,249.2
145,5904.75,0.0,391.5,891.74,5.1,5.2,172.5,659.21,0.0,126.19,236.5,3416.81
150,11798.56,3.19,314.5,1082.31,6.1,5.0,0.0,145.53,116.3,76.0,540.9,9508.73
151,7870.62,0.0,157.1,520.44,5.2,30.95,0.0,165.9,82.8,276.6,357.15,6274.48
152,11545.23,11.7,20.7,3440.51,0.0,0.0,0.0,1547.91,36.2,223.96,3.1,6261.15
153,13048.45,121.91,148.4,3118.0,14.5,36.85,0.0,2102.4,0.0,183.89,87.2,7235.3
154,12046.37,0.89,40.55,4430.12,3.6,11.8,0.0,992.11,14.0,58.3,214.4,6280.6
155,11623.33,0.0,99.15,3533.75,0.0,16.3,0.0,906.36,10.8,169.3,255.0,6632.67
158,6275.43,0.0,286.8,1053.05,0.0,0.0,0.0,130.5,101.6,92.46,591.8,4019.22
159,10750.15,0.0,39.05,2645.76,0.0,13.85,0.0,1760.25,100.8,349.44,134.1,5706.9
160,6614.66,0.0,107.0,935.39,6.5,8.6,0.0,652.2,32.4,187.4,435.52,4249.65
161,7880.4,0.0,164.67,1443.99,0.0,22.1,0.0,898.2,32.4,415.0,10.6,4893.44
162,8752.11,0.0,183.7,1274.15,0.0,4.7,0.0,207.83,49.5,128.64,831.0,6072.59
163,6193.77,0.0,72.73,1254.45,0.0,15.6,0.0,1425.3,54.4,22.09,121.3,3227.9
164,6827.62,0.0,189.7,723.23,0.0,9.0,0.0,144.66,68.4,18.0,210.5,5464.13
165,561.61,0.0,0.0,30.91,0.0,0.0,0.0,6.5,0.0,1.0,3.5,519.7
168,14672.09,0.0,363.97,3800.26,0.0,69.45,10.0,1802.41,57.6,209.72,322.0,8036.68
169,8861.28,0.0,19.8,982.59,30.0,0.0,0.0,188.2,6.6,145.7,366.5,7121.89
170,7953.99,0.0,316.7,710.06,0.0,25.7,0.0,160.6,64.8,78.16,363.6,6234.37
171,9156.82,0.0,401.0,438.91,1.0,53.9,0.0,157.63,25.7,213.23,726.36,7139.09
172,6233.8,0.0,145.6,1385.02,18.0,5.3,0.0,1186.4,22.0,32.3,70.15,3369.03
173,1990.0,0.0,18.0,446.2,0.0,5.4,0.0,402.5,0.0,50.5,38.8,1028.6
174,9549.34,0.0,63.3,2988.11,0.0,16.7,0.0,500.6,50.4,228.78,9.9,5691.55
175,9544.5,0.0,145.4,1029.95,0.0,2.35,0.0,284.6,201.6,0.1,1182.6,6697.9
176,10397.94,0.0,156.05,447.71,0.0,5.45,2.0,129.8,162.0,148.3,968.5,8378.13
177,9821.59,0.0,127.7,793.58,0.0,52.5,0.0,296.55,226.8,38.5,1026.55,7259.41
178,13054.99,2.18,97.2,2557.55,0.0,355.4,5.0,2120.8,31.3,304.13,2.25,7579.18
179,4675.35,0.0,130.02,961.36,0.0,8.1,0.0,619.1,0.0,73.22,108.4,2775.15
180,7954.23,0.0,79.3,738.72,0.0,4.1,0.0,348.7,97.1,139.8,770.9,5775.61
181,10800.38,0.0,90.0,673.95,24.5,36.55,0.0,219.9,0.0,67.6,306.4,9381.48
184,9656.69,0.0,407.1,905.77,34.0,16.0,0.0,449.59,42.0,96.11,556.5,7149.62
185,10583.93,0.0,72.4,2404.05,55.0,13.5,17.0,2069.35,46.8,75.98,299.1,5530.75
186,7567.83,0.0,113.5,794.3,1.45,0.0,0.0,123.6,74.4,72.4,741.4,5646.78
187,13061.82,0.0,240.48,3597.41,0.0,13.0,0.0,1299.36,54.0,419.6,294.9,7143.07
188,7872.38,0.0,80.3,604.74,0.0,18.73,0.0,112.9,8.82,39.2,350.4,6657.29
189,825.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,825.0
192,8579.86,0.0,11.13,2707.0,0.0,0.0,0.0,657.63,4.0,691.1,4.4,4504.6
193,7834.85,0.0,31.3,2217.32,0.0,0.3,0.0,894.8,36.0,115.9,33.2,4506.03
194,8680.82,0.3,29.6,2009.51,0.0,0.0,0.0,1390.06,0.0,22.0,136.3,5093.05
195,6151.65,0.0,117.59,1553.05,0.0,41.0,0.0,841.4,10.8,161.71,67.4,3358.7
196,14622.72,0.0,390.22,1445.9,36.5,94.6,136.0,682.44,291.6,220.5,1071.8,10253.16
197,7097.69,0.0,96.7,650.51,15.0,0.0,0.0,162.3,48.7,94.7,199.2,5830.58
198,5555.95,0.0,46.75,1342.63,28.0,53.96,262.0,599.2,0.0,81.2,9.6,3132.61
199,3862.3,0.0,91.7,774.9,0.0,0.6,316.0,510.9,0.0,81.7,4.0,2082.5
206,4912.91,1.49,29.3,1719.42,0.0,18.5,0.0,480.4,0.0,85.8,1.0,2577.0
207,2679.86,0.0,12.3,844.87,0.0,0.0,0.0,233.4,7.2,18.1,0.0,1563.99
208,8362.42,0.32,137.0,1105.13,32.5,0.0,0.0,168.52,98.12,39.7,483.5,6297.63
209,7194.09,32.9,21.8,399.84,0.0,38.95,0.0,416.83,36.0,192.22,25.0,6030.55
210,13739.2,0.0,247.9,1204.1,18.6,8.85,0.0,163.1,66.2,280.3,1952.1,9798.05
211,7450.5,0.0,158.88,699.09,0.0,27.4,0.0,138.8,38.9,21.5,472.4,5893.53
212,11066.21,0.0,288.3,857.34,0.0,3.7,0.0,341.68,0.0,71.5,1932.62,7571.07
213,9185.87,0.0,91.0,297.03,23.0,258.2,0.0,201.77,7.2,112.7,1566.06,6628.91
216,15582.53,0.26,42.4,1476.43,0.0,20.5,0.0,96.85,45.6,194.6,2319.1,11386.79
217,9198.16,0.0,67.6,577.49,6.8,29.8,0.0,163.7,190.8,349.7,2178.6,5633.67
220,6985.41,0.0,3.0,1035.44,0.0,1.3,0.0,82.5,9.6,80.9,523.5,5249.17
221,663.85,0.0,19.0,55.1,0.0,8.0,0.0,17.7,0.0,54.8,9.1,500.15
222,629.35,0.0,3.0,46.65,0.0,0.0,0.0,0.0,0.0,1.2,0.0,578.5
223,5820.29,0.0,39.06,818.89,0.0,8.5,0.0,326.2,57.6,73.4,167.6,4329.04
224,2873.11,0.0,0.0,327.27,30.2,6.2,0.0,145.9,0.0,17.3,159.3,2186.94
225,2778.47,0.0,0.0,236.9,0.0,0.85,0.0,308.05,0.0,14.1,136.54,2082.03
226,6958.94,0.0,188.1,505.08,38.0,0.6,0.0,232.93,0.0,164.2,1028.5,4801.53
227,9020.69,0.0,132.5,475.56,5.5,41.35,0.0,248.8,133.2,201.06,489.4,7293.32
230,15443.5,0.0,52.2,2089.93,1.5,0.6,0.0,201.0,105.6,335.2,1432.67,11224.8
231,14636.71,0.0,556.1,899.77,69.18,171.4,0.0,176.5,147.6,431.4,970.6,11214.16
232,6820.68,0.0,77.3,399.43,21.1,0.0,0.0,92.7,21.6,45.4,870.07,5293.08
233,7534.95,0.0,227.5,462.49,13.1,4.15,0.0,38.9,25.2,45.1,932.12,5786.39
236,9577.8,0.0,9.8,525.33,25.65,0.0,0.0,222.7,34.8,63.1,1335.5,7360.92
237,8691.6,0.0,43.6,404.88,0.0,9.85,0.0,270.0,126.0,149.7,629.2,7058.37
238,11328.45,22.0,496.5,982.25,0.0,10.0,0.0,219.4,80.4,124.67,988.5,8404.73
239,10249.79,0.0,321.8,794.46,6.0,31.75,0.0,223.94,79.2,120.44,995.4,7676.8
240,12099.04,0.69,27.0,1544.96,125.4,2.52,0.0,112.3,38.6,66.1,1214.9,8966.57
241,7781.12,0.0,95.9,927.43,17.0,0.2,0.0,126.49,32.6,244.1,766.2,5571.2
242,6696.38,60.92,95.2,689.6,21.5,12.0,0.0,373.2,68.4,354.1,539.2,4482.26
243,5796.31,0.0,138.6,354.77,16.7,21.3,0.0,126.02,54.0,105.9,502.7,4476.32
244,4827.3,0.03,212.3,259.38,0.0,0.0,0.0,381.0,95.1,86.2,262.0,3531.29
245,2749.06,0.0,171.0,83.44,15.0,6.4,0.0,47.9,18.0,47.2,272.0,2088.12
246,8710.4,0.0,6.0,242.9,41.0,48.5,0.0,368.3,169.2,168.0,507.6,7158.9
247,4608.14,0.0,141.8,581.24,13.0,0.0,0.0,105.6,38.2,57.6,569.6,3101.1
248,581.38,0.0,0.0,17.68,0.0,0.0,0.0,7.0,10.8,0.4,8.4,537.1
249,6553.45,0.0,128.4,715.11,38.56,13.0,0.0,245.29,55.8,107.87,151.4,5098.02
252,7469.73,0.0,178.6,793.78,23.0,41.2,0.0,112.1,267.2,187.75,785.2,5080.9
253,10154.84,14.0,123.6,796.11,8.5,0.6,0.0,227.15,97.0,105.88,399.58,8382.42
254,8459.83,0.0,79.1,1011.98,60.56,6.8,0.0,216.9,88.6,87.37,866.72,6041.8
255,7231.4,0.0,189.2,481.76,0.0,25.45,0.0,106.5,126.0,187.0,637.0,5478.49
256,14688.46,0.0,677.6,897.87,23.3,74.15,0.0,186.6,176.4,193.0,2127.2,10332.34
257,13940.81,0.0,156.8,1219.49,56.3,30.15,0.0,575.05,104.4,107.9,469.2,11221.52
258,8348.69,0.0,146.3,1078.25,14.0,2.2,0.0,229.9,70.8,130.55,1673.3,5003.39
259,5372.38,0.0,216.3,461.38,0.0,23.2,0.0,77.9,90.0,138.9,1304.7,3060.0
262,947.11,0.0,0.0,84.51,0.0,0.0,0.0,16.0,10.8,0.9,199.4,635.5
263,6891.03,0.0,17.4,479.82,0.0,12.3,0.0,406.3,57.6,192.2,275.0,5450.41
264,6718.33,0.0,36.43,1576.4,0.0,33.6,0.0,725.7,86.4,343.2,40.4,3876.2
265,8154.28,0.0,120.0,528.69,12.2,5.6,0.0,517.9,10.8,107.5,888.0,5963.59
266,1867.47,0.0,132.52,147.93,63.72,17.7,0.0,40.5,12.0,8.0,158.74,1286.36
267,7680.98,0.0,399.2,326.19,29.5,21.9,0.0,166.8,39.6,125.3,677.1,5895.39
280,8396.32,0.0,294.83,560.57,15.0,36.65,0.0,248.8,3.6,126.0,591.4,6519.47
281,11476.32,0.0,365.5,1039.06,11.6,12.6,0.0,567.5,18.0,136.01,1945.34,7380.71
282,20930.49,0.0,36.3,1475.03,1.8,26.64,0.0,609.15,38.32,45.61,3373.16,15324.48
283,9174.99,34.72,71.2,406.87,0.0,1.35,0.0,152.1,64.8,23.0,1620.8,6800.15
284,10738.09,0.0,138.7,932.09,10.0,0.0,0.0,191.3,100.6,254.25,721.2,8389.95
285,8167.47,1.91,59.1,454.83,99.5,1.2,0.0,381.61,20.4,11.5,539.1,6598.32
288,14883.53,0.0,0.0,2269.65,4.0,13.6,0.0,405.53,264.3,74.1,1878.7,9973.65
289,17493.07,0.0,289.3,2572.57,0.6,1.05,0.0,441.75,291.6,78.0,2973.7,10844.5
292,10419.62,0.0,146.3,466.65,15.0,0.9,897.0,140.46,79.2,54.2,724.8,7895.11
293,6326.91,0.0,221.0,530.79,0.0,14.45,0.0,112.6,121.2,29.8,702.1,4594.97
294,10927.57,0.0,154.7,1084.57,0.0,74.0,3.6,222.24,30.58,19.2,1242.59,8096.09
295,8466.3,0.0,101.4,422.12,5.6,39.2,0.0,212.4,0.0,17.4,802.0,6866.18
296,10936.04,0.0,19.4,1137.84,15.0,3.9,0.0,212.8,160.6,15.7,1035.31,8335.49
297,10067.68,0.0,37.9,929.08,11.5,22.85,0.0,303.15,133.2,42.1,482.6,8105.3
300,21636.65,0.0,436.3,2670.52,6.5,2.0,0.0,102.65,56.88,71.08,4078.7,14212.02
301,20442.83,0.0,794.21,2339.79,17.0,106.75,0.0,50.9,28.8,9.5,3982.21,13113.67
302,14490.84,0.0,159.23,1875.91,0.0,0.0,96.5,2821.6,10.8,193.3,546.7,8786.8
303,9485.52,0.0,237.7,866.3,8.0,58.3,0.0,320.3,28.8,161.0,645.6,7159.52
306,2952.31,0.0,61.0,324.83,0.0,7.2,0.0,113.8,15.6,8.3,328.6,2092.98
307,5550.49,0.0,177.92,507.97,21.9,24.5,0.0,226.7,25.2,3.02,346.97,4216.31
314,9721.83,0.0,46.7,910.3,26.5,88.5,0.0,418.25,134.46,135.7,610.3,7351.12
315,8485.04,0.0,86.7,1118.1,0.6,17.0,0.0,230.4,158.4,67.03,458.28,6348.53
316,1644.08,0.0,9.4,111.64,0.0,1.26,0.0,4.0,2.46,42.1,505.2,968.02
317,409.84,0.0,0.0,77.54,0.0,0.0,0.0,3.6,0.0,1.1,15.5,312.1
322,11690.17,0.15,24.2,1793.01,2.4,4.9,0.0,152.23,7.2,1.5,2160.22,7544.36
323,15778.98,0.0,303.9,1365.28,23.2,36.2,0.0,300.39,3.6,29.2,2604.9,11112.31
326,11832.52,0.0,229.7,383.4,10.0,71.0,0.0,147.96,36.0,98.3,857.1,9999.06
327,465.1,0.0,0.0,17.3,0.0,0.0,0.0,30.7,0.0,0.0,40.5,376.6
330,11117.97,0.0,232.1,960.74,91.72,46.35,7.2,335.6,118.9,153.7,1630.66,7541.0
331,10984.48,0.0,130.1,1750.96,5.0,6.6,0.0,167.93,100.8,232.4,1331.9,7258.79
332,10149.23,0.0,159.0,752.8,16.5,48.6,0.0,166.4,32.4,32.0,913.9,8027.63
333,7261.91,0.0,29.4,1117.22,0.3,3.78,0.0,63.2,7.2,15.7,1282.88,4742.23
336,12807.71,0.0,146.43,2545.8,1.0,42.5,96.0,1533.28,85.8,545.74,852.26,6958.9
337,7407.53,0.0,15.3,988.89,0.0,3.0,0.0,109.49,22.8,58.4,969.73,5239.92
338,10796.12,0.0,75.5,1361.37,0.0,64.25,0.0,132.36,56.7,122.4,685.8,8297.74
339,514.8,0.0,0.0,0.0,0.0,0.0,0.0,7.7,0.0,0.0,0.0,507.1
340,1360.39,0.0,134.0,159.16,0.0,0.0,0.0,0.0,0.0,0.5,23.3,1043.43
341,7803.0,0.0,89.2,847.05,0.0,35.7,0.0,526.0,18.0,67.0,763.16,5456.89
342,8174.62,0.0,190.25,1756.99,0.0,40.0,42.0,999.22,4.5,161.33,101.5,4878.83
343,3431.0,0.0,39.5,207.99,30.0,10.3,0.0,183.6,75.6,167.1,296.2,2420.71
346,21290.94,2.0,558.0,1872.19,20.8,0.8,0.0,1080.41,25.38,18.5,1867.1,15845.76
347,16451.45,0.0,844.9,1124.88,73.4,57.75,0.0,769.5,27.6,8.8,1210.8,12333.82
350,8726.9,0.0,267.9,634.5,0.0,29.2,0.0,134.73,57.6,64.0,771.0,6767.97
351,4924.15,0.0,137.2,352.34,3.7,0.0,0.0,162.7,94.4,139.68,356.1,3678.03
352,9136.61,0.0,64.9,1045.24,28.2,0.3,0.0,164.96,24.0,32.0,1260.45,6516.56
353,6353.29,0.0,178.5,671.58,1.7,17.25,0.0,132.1,6.0,15.4,1286.0,4044.76
354,13019.01,0.8,262.3,1111.48,0.0,9.1,0.0,218.66,50.46,80.8,900.68,10384.73
355,12734.16,20.0,252.8,1396.63,109.5,48.45,0.0,472.7,54.0,88.3,1169.0,9122.78
356,9301.6,0.0,61.0,690.86,44.5,10.0,0.0,424.03,73.5,126.7,296.7,7574.31
357,4605.75,0.0,9.75,1620.4,0.0,6.0,0.0,280.3,3.6,66.3,0.0,2619.4
360,10448.31,0.0,665.2,745.85,37.0,62.55,0.0,261.39,112.7,65.13,826.02,7672.47
361,7477.41,0.0,147.1,244.24,24.0,12.75,0.0,202.56,140.4,67.3,537.22,6101.84
364,11680.52,0.0,205.3,775.88,14.0,96.7,0.0,190.53,231.1,83.9,780.59,9302.52
365,8449.02,0.0,212.9,374.36,89.0,156.3,0.0,282.93,208.8,81.6,877.5,6165.63
366,5755.7,0.0,19.4,730.97,24.9,1.1,0.0,84.7,5.3,34.9,474.81,4379.62
367,3307.82,0.0,21.8,337.7,0.0,11.0,0.0,19.0,0.0,0.0,354.2,2564.12
368,3585.97,0.0,1.0,339.22,11.6,0.3,0.0,125.45,3.6,22.43,699.1,2383.27
369,3873.57,0.0,165.7,338.4,0.0,0.0,0.0,157.3,0.0,0.0,443.7,2768.47
370,795.31,0.0,0.0,20.91,0.0,0.0,0.0,4.8,7.2,2.1,118.0,642.3
371,10792.16,0.0,162.0,1466.46,0.0,20.55,0.0,812.5,158.4,110.4,886.9,7174.95
372,5726.25,0.0,588.7,887.03,0.0,0.0,20.0,400.4,20.6,268.37,120.2,3420.95
373,3248.08,0.0,134.9,573.24,0.0,0.9,0.0,337.4,25.2,115.04,137.7,1923.7
374,10584.59,0.03,76.7,940.36,107.11,13.4,0.2,219.5,74.4,197.8,498.4,8456.69
375,12490.97,0.0,121.8,850.64,161.3,1.5,0.0,176.9,10.8,22.3,754.68,10391.05
378,10425.9,0.0,346.7,1138.07,10.6,1.45,0.0,82.33,93.6,1.54,1374.9,7376.71
379,5661.59,0.0,26.7,709.05,25.69,0.7,0.0,270.96,9.6,63.8,340.8,4214.29
380,8532.37,0.0,241.1,678.91,19.4,12.3,0.0,592.5,3.6,143.5,718.4,6122.66
381,729.11,0.0,0.0,0.01,0.0,0.0,0.0,1.0,0.0,1.1,127.0,600.0
382,9028.52,0.0,74.45,2045.24,0.0,8.5,0.0,1250.1,25.2,147.9,175.6,5301.53
383,5074.94,0.0,331.5,218.15,0.0,11.55,0.0,144.3,104.4,113.03,342.7,3809.31
392,10168.68,0.0,227.82,887.2,50.5,6.9,0.0,694.9,152.4,348.97,674.1,7125.89
393,229.3,0.0,0.0,7.9,0.0,0.0,0.0,1.0,0.0,0.2,0.0,220.2
398,9506.72,0.0,33.8,2117.85,54.0,9.36,0.0,1311.29,0.0,842.4,0.0,5138.02
399,17378.38,0.0,418.9,3611.01,0.0,8.0,0.0,1964.29,104.4,1313.38,140.1,9818.3
